,OrderID,Time Submission,Direction_x,Price Submission,Size Submission,Time Cancellation,lifetime,Size Cancellation,Ask Price 1 Submission,Bid Price 1 Submission,Ask Price 1 Cancellation,Bid Price 1 Cancellation,Effective Spread Start,Effective Spread End,Volatility,Number of Orders Submitted
202,212397158,17:47.9,1,2210900,200,17:47.9,0.001527372,100,2213000,2212100,2213000,2212100,900,900,2059.919909,2138
203,212417448,17:50.6,1,2211700,300,17:51.5,0.901839718,100,2213400,2213000,2213400,2213000,400,400,2059.919909,2180
204,212634772,18:27.0,1,2210000,400,18:27.0,0.001886514,100,2212000,2210500,2212000,2210500,1500,1500,2041.033048,2219
205,212634802,18:27.0,1,2209900,200,18:27.0,0.002435029,100,2212000,2210500,2212000,2210500,1500,1500,2041.033048,2220
206,212814659,18:49.8,1,2210000,200,18:49.9,0.019717918,100,2211900,2210700,2211900,2210700,1200,1200,1979.566039,2242
207,212814694,18:49.8,1,2210000,200,18:49.9,0.007829799,100,2211900,2210700,2211900,2210700,1200,1200,1979.566039,2243
208,214254500,21:21.3,1,2211100,200,21:21.3,0.000509158,100,2213800,2211400,2213900,2211400,2400,2500,1368.659825,2208
209,214255060,21:21.4,1,2212100,400,21:21.4,0.000550946,100,2214300,2214200,2214300,2214200,100,100,1455.743657,2252
210,214255060,21:21.4,1,2212100,400,21:21.4,0.001014529,200,2214300,2214200,2214300,2214200,100,100,1455.743657,2252
211,214255117,21:21.4,1,2212400,300,21:21.4,0.000458694,200,2214300,2212400,2214300,2212400,1900,1900,1460.368446,2255
212,216764703,25:14.0,-1,2212200,200,25:14.3,0.31887442,100,2211800,2210300,2211800,2210300,1500,1500,1259.407158,2271
213,217649393,26:29.0,-1,2210400,200,26:29.0,0.029755825,100,2210200,2208300,2210200,2208300,1900,1900,1569.919747,2296
214,218715977,28:09.8,1,2207500,200,28:09.8,0.001167544,100,2209500,2207800,2209800,2207800,1700,2000,1678.872253,2514
215,218986528,28:42.2,1,2209100,200,28:42.2,0.005841023,100,2211000,2209700,2211000,2209700,1300,1300,1660.821912,2606
216,220157719,30:07.2,1,2212100,300,30:07.2,0.000644597,100,2214200,2213000,2214200,2213000,1200,1200,1826.590748,2756
217,221308802,32:41.9,-1,2214400,200,32:42.7,0.827300577,100,2214400,2212800,2214200,2212800,1600,1400,2000.353338,2500
218,221357827,32:44.1,-1,2214400,300,32:44.1,0.000467567,100,2214200,2212800,2214200,2212800,1400,1400,2003.423449,2504
219,222320813,34:48.9,-1,2215100,200,34:49.7,0.861984345,100,2214600,2213400,2214600,2213400,1200,1200,2078.227204,2286
220,222330829,34:49.7,-1,2215200,200,34:51.3,1.600732963,100,2214600,2213400,2214600,2213400,1200,1200,2078.227204,2288
221,222399987,34:58.2,-1,2215200,200,34:59.9,1.687691261,100,2214600,2213400,2214600,2213400,1200,1200,2090.328287,2282
222,222710195,35:58.6,1,2213100,200,35:59.6,0.941076464,100,2214700,2213400,2214700,2213400,1300,1300,2210.097428,2133
223,222840235,36:22.1,1,2213000,200,36:22.2,0.129138157,100,2214800,2213400,2214800,2213400,1400,1400,2292.251289,2037
224,223251132,37:22.6,1,2213500,200,37:23.5,0.840892334,100,2215700,2214000,2215700,2214000,1700,1700,2454.170229,2003
225,224344932,39:55.6,1,2214800,200,39:56.2,0.552293693,100,2216700,2215500,2216700,2215500,1200,1200,2673.773211,1897
226,225092870,41:21.1,1,2215700,200,41:21.1,0.001296051,100,2218000,2216700,2218000,2216700,1300,1300,2441.499556,1825
227,225330213,41:30.4,1,2217100,200,41:30.5,0.066753521,100,2219500,2217600,2219500,2217600,1900,1900,2194.30091,1833
228,225538381,41:38.7,1,2217200,200,41:38.7,0.005156092,100,2219500,2217600,2219500,2217600,1900,1900,2166.984716,1854
